UObject[000000] /Script/CoreUObject                                0x46FE8000
UObject[000001] Object                                             0x3C217A00
UObject[000002] /Script/Engine                                     0x46FE8100
UObject[000004] /Script/ShadowTrackerExtra                         0x46FE8200
UObject[000006] Actor                                              0x4509EF80
UObject[000026] /Script/Basic                                      0x46FE8300
UObject[000039] /Script/UMG                                        0x46FE8400
UObject[000057] Interface                                          0x45099D00
UObject[000078] /Script/AIModule                                   0x46FE8600
UObject[000086] Info                                               0x45E49180
UObject[000089] /Script/Gameplay                                   0x46FE8700
UObject[000275] EffectComponent                                    0x45E55D00
UObject[000284] FerrisWheel                                        0x45E54F80
UObject[000357] LagCompensationComponent                           0x45E4D900
UObject[000387] MyLandscape                                        0x45E4A000
UObject[000400] StaticMeshComponent                                0x45EA8880
UObject[000435] Pawn                                               0x45EA4980
UObject[000459] PVPBossComponent                                   0x45EA1E00
UObject[000491] State                                              0x45E9E380
UObject[000542] SkeletalMeshComponent                              0x45EB8400
UObject[000610] GameSession                                        0x45EB1200
UObject[000752] TssHookEx                                          0x45ED2A00
UObject[000763] UAERecastNavMesh                                   0x45ED1980
UObject[000988] Engine                                             0x45EBA300
UObject[001004] /Script/Client                                     0x46FE8E00
UObject[001054] /Script/ClientNet                                  0x46FE9000
UObject[001100] ScriptStruct                                       0x45EEDF00
UObject[001101] Package                                            0x45EEDC00
UObject[001102] Class                                              0x45EEDD80
UObject[001103] Function                                           0x45EEDA80
UObject[001107] Enum                                               0x45EED480
UObject[001109] EnumProperty                                       0x45EED300
UObject[001114] ObjectRedirector                                   0x45EECA00
UObject[001115] ArrayProperty                                      0x45EEC880
UObject[001117] BoolProperty                                       0x45EEC580
UObject[001119] ByteProperty                                       0x45EEC400
UObject[001120] ObjectProperty                                     0x45EEBF80
UObject[001122] DelegateProperty                                   0x45EEBE00
UObject[001123] DoubleProperty                                     0x45EEBC80
UObject[001124] FloatProperty                                      0x45EEBB00
UObject[001125] IntProperty                                        0x45EEB980
UObject[001126] Int16Property                                      0x45EEB800
UObject[001127] Int64Property                                      0x45EEB680
UObject[001128] Int8Property                                       0x45EEB500
UObject[001129] InterfaceProperty                                  0x45EEB380
UObject[001130] LazyObjectProperty                                 0x45EEB200
UObject[001131] MapProperty                                        0x45EEB080
UObject[001132] MulticastDelegateProperty                          0x45EEAF00
UObject[001133] NameProperty                                       0x45EEAD80
UObject[001134] SetProperty                                        0x45EEAC00
UObject[001135] SoftObjectProperty                                 0x45EEA900
UObject[001137] StrProperty                                        0x45EEA780
UObject[001138] StructProperty                                     0x45EEA600
UObject[001139] UInt16Property                                     0x45EEA480
UObject[001140] UInt32Property                                     0x45EEA300
UObject[001141] UInt64Property                                     0x45EEA180
UObject[001143] TextProperty                                       0x45F19D80
UObject[001144] /Script/InputCore                                  0x46FE9100
